Date,Price,Open,High,Low,Vol.,Change %,EPU,GPRD,Gold
2023-09-20,"27,125.0","27,209.2","27,378.6","26,851.8",47.23K,-0.31%,204.22276828471064,190.11257934570312,1945.5999755859375
2023-09-19,"27,209.2","26,759.0","27,480.7","26,672.2",52.17K,1.67%,204.22276828471064,207.4167633056641,1932.0
2023-09-18,"26,763.5","26,530.3","27,413.3","26,405.2",63.35K,0.88%,204.22276828471064,114.6917495727539,1931.5
2023-09-17,"26,529.1","26,562.0","26,614.4","26,408.7",16.57K,-0.12%,204.22276828471064,64.32170104980469,1923.699951171875
2023-09-16,"26,562.0","26,599.9","26,769.0","26,463.5",18.45K,-0.15%,204.22276828471064,79.46189880371094,1923.699951171875
2023-09-15,"26,601.0","26,523.3","26,837.4","26,233.1",36.47K,0.29%,204.22276828471064,106.68494415283205,1923.699951171875
2023-09-14,"26,524.7","26,223.0","26,760.3","26,148.6",53.82K,1.15%,204.22276828471064,119.93779754638672,1910.0
2023-09-13,"26,223.0","25,836.1","26,382.3","25,766.9",42.58K,1.50%,204.22276828471064,134.78366088867188,1909.0999755859375
2023-09-12,"25,834.5","25,166.4","26,472.6","25,133.5",78.71K,2.65%,204.22276828471064,164.96852111816406,1911.300048828125
2023-09-11,"25,166.4","25,840.2","25,897.4","24,923.1",56.32K,-2.61%,204.22276828471064,93.49989318847656,1923.300048828125
2023-09-10,"25,840.2","25,901.1","25,995.1","25,626.7",23.60K,-0.24%,204.22276828471064,16.60434913635254,1918.4000244140625
2023-09-09,"25,901.1","25,909.5","25,938.5","25,814.3",13.48K,-0.03%,204.22276828471064,44.43086242675781,1918.4000244140625
2023-09-08,"25,909.5","26,248.5","26,415.4","25,701.6",41.01K,-1.30%,204.22276828471064,80.14276123046875,1918.4000244140625
2023-09-07,"26,249.8","25,758.0","26,417.7","25,626.5",39.77K,1.91%,204.22276828471064,80.34212493896484,1917.5
2023-09-06,"25,758.0","25,790.1","26,018.4","25,411.7",37.78K,-0.13%,204.22276828471064,76.62522888183594,1918.0999755859375
